
                                      CodeAnalysis - Version 1.4
    ==============================================================================================
     Thu Mar  9 19:39:45 2017
     Path: "K:\OOD\Proj2\CodeAnalyzerEx\XmlDocument"
     Args: *.h, *.cpp, *.cs, /m, /f, /r, -DEPXMl, ..\..\XMLInputFiles/DependencyTable.xml, -SCCXML, ..\..\XMLInputFiles/Scc.xml
                                                                               
           Code Metrics - Start Line, Size (lines/code), and Complexity (number of scopes)
    ==============================================================================================

                 file name        type                               name    line    size    cplx
       xmlElementParts.cpp    function                       isTerminator      23       7       1
       xmlElementParts.cpp    function                                get      33      29       5
       xmlElementParts.cpp    function                         operator[]      64       5       1
       xmlElementParts.cpp    function                               show      71       9       1
       xmlElementParts.cpp    function                               find      83       6       1
       xmlElementParts.cpp    function                             remove      91      10       2
       xmlElementParts.cpp    function                          trimFront     103       4       1
       xmlElementParts.cpp    function                            toLower     109       9       3
       xmlElementParts.cpp    function                               main     122      31       5

                          Functions Exceeding Metric Limits and Public Data
    ==============================================================================================
                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
             Tokenizer.cpp    function                               main     302      54       8



    searched    19 dirs
   processed    13 files
